analisis_gramatical,traduccion_literal,palabra,transliteracion
,,ενυπνιαζομενοι,
,,ενυπνιασθησονται,
,,ενυπνιοις,
,,ενυσταξαν,
,,ενωκησεν,
,,ενωπιον,
,,ενως,
,,ενωτισασθε,
,,ενωχ,
,,εξ,
,,εξαγαγειν,
,,εξαγαγετωσαν,
,,εξαγαγοντες,
,,εξαγαγων,
,,εξαγγειλητε,
,,εξαγει,
,,εξαγοραζομενοι,
,,εξαγοραση,
,,εξαγουσιν,
,,εξαιρουμενος,
,,εξαιφνης,
,,εξακολουθησαντες,
,,εξακολουθησουσιν,
,,εξακοσιοι,
,,εξακοσιων,
,,εξαλειφθηναι,
,,εξαλειψας,
,,εξαλειψει,
,,εξαλειψω,
,,εξαλλομενος,
,,εξαναστασιν,
,,εξαναστηση,
,,εξανεστησαν,
,,εξανετειλεν,
,,εξαπατατω,
,,εξαπατηθεισα,
,,εξαπατηση,
,,εξαπατωσιν,
,,εξαπεσταλη,
,,εξαπεστειλαν,
,,εξαπεστειλεν,
,,εξαπινα,
,,εξαπορηθηναι,
,,εξαπορουμενοι,
,,εξαποστελλω,
,,εξαποστελω,
,,εξαρατε,
,,εξαρτισαι,
,,εξαστραπτων,
,,εξαυτης,
,,εξεβαλεν,
,,εξεβαλλον,
,,εξεβαλομεν,
,,εξεβαλον,
,,εξεβησαν,
,,εξεβληθη,
,,εξεγερει,
,,εξεδετο,
,,εξεδεχετο,
,,εξεδικησεν,
,,εξεδυσαν,
,,εξεζητησαν,
,,εξεθαμβηθησαν,
,,εξεθαυμαζον,
,,εξεθεντο,
,,εξει,
,,εξειλαμην,
,,εξειλατο,
,,εξεις,
,,εξεκαυθησαν,
,,εξεκεντησαν,
,,εξεκλασθησαν,
,,εξεκλεισθη,
,,εξεκλιναν,
,,εξεκομιζετο,
,,εξεκοπης,
,,εξεκρεματο,
,,εξελε,
,,εξελεγοντο,
,,εξελεξαμην,
,,εξελεξαντο,
,,εξελεξασθε,
,,εξελεξατο,
,,εξελεξω,
,,εξελεσθαι,
,,εξελευσεται,
,,εξελευσονται,
,,εξεληλυθασιν,
,,εξεληλυθει,
,,εξεληλυθεν,
,,εξεληλυθος,
,,εξεληλυθοτας,
,,εξεληλυθυιαν,
,,εξεληται,
,,εξελθατε,
,,εξελθε,
,,εξελθειν,
,,εξελθη,
,,εξελθης,
,,εξελθητε,
,,εξελθοντα,
,,εξελθοντες,
,,εξελθοντι,
,,εξελθοντος,
,,εξελθοντων,
,,εξελθουσα,
,,εξελθουσαι,
,,εξελθουσαν,
,,εξελθουση,
,,εξελθων,
,,εξελκομενος,
,,εξεμαξεν,
,,εξεμασσεν,
,,εξεμυκτηριζον,
,,εξενεγκαντες,
,,εξενεγκατε,
,,εξενεγκειν,
,,εξενευσεν,
,,εξενισεν,
,,εξενοδοχησεν,
,,εξεπεμψαν,
,,εξεπεσαν,
,,εξεπεσατε,
,,εξεπεσεν,
,,εξεπετασα,
,,εξεπηδησαν,
,,εξεπλαγησαν,
,,εξεπλει,
,,εξεπλευσαμεν,
,,εξεπλησσετο,
,,εξεπλησσοντο,
,,εξεπνευσεν,
,,εξεπορευετο,
,,εξεπορευοντο,
,,εξεπτυσατε,
,,εξεραμα,
,,εξερχεσθε,
,,εξερχεται,
,,εξερχομενοι,
,,εξερχομενος,
,,εξερχομενων,
,,εξερχονται,
,,εξερχωμεθα,
,,εξεστακεναι,
,,εξεστη,
,,εξεστημεν,
,,εξεστησαν,
,,εξεστιν,
,,εξεστραπται,
,,εξετασαι,
,,εξετασατε,
,,εξετεινατε,
,,εξετεινεν,
,,εξετιθετο,
,,εξετραπησαν,
,,εξεφυγον,
,,εξεχεαν,
,,εξεχεεν,
,,εξεχυθη,
,,εξεχυθησαν,
,,εξεχυννετο,
,,εξεψυξεν,
,,εξηγαγεν,
,,εξηγγειλαν,
,,εξηγειρα,
,,εξηγειτο,
,,εξηγησαμενος,
,,εξηγησατο,
,,εξηγορασεν,
,,εξηγουμενων,
,,εξηγουντο,
,,εξηεσαν,
,,εξηκοντα,
,,εξηλθαν,
,,εξηλθατε,
,,εξηλθεν,
,,εξηλθες,
,,εξηλθομεν,
,,εξηλθον,
,,εξηνεγκεν,
,,εξηπατησεν,
,,εξηραμμενην,
,,εξηρανεν,
,,εξηρανθη,
,,εξηρανται,
,,εξηραυνησαν,
,,εξηρτισμενος,
,,εξηρχετο,
,,εξηρχοντο,
,,εξης,
,,εξητησατο,
,,εξηχηται,
,,εξιεναι,
,,εξιν,
,,εξιοντων,
,,εξισταντο,
,,εξιστανων,
,,εξιστασθαι,
,,εξιστατο,
,,εξοδον,
,,εξοδου,
,,εξοισουσιν,
,,εξολεθρευθησεται,
,,εξομολογεισθε,
,,εξομολογησεται,
,,εξομολογησηται,
,,εξομολογησομαι,
,,εξομολογουμαι,
,,εξομολογουμενοι,
,,εξον,
,,εξορκιζω,
,,εξορκιστων,
,,εξορυξαντες,
,,εξουδενηθη,
,,εξουθενεις,
,,εξουθενειτε,
,,εξουθενειτω,
,,εξουθενηθεις,
,,εξουθενημενα,
,,εξουθενημενος,
,,εξουθενημενους,
,,εξουθενησας,
,,εξουθενησατε,
,,εξουθενηση,
,,εξουθενουντας,
,,εξουσια,
,,εξουσιαζει,
,,εξουσιαζοντες,
,,εξουσιαι,
,,εξουσιαις,
,,εξουσιαν,
,,εξουσιας,
,,εξουσιασθησομαι,
,,εξουσιν,
,,εξουσιων,
,,εξοχην,
,,εξυπνισω,
,,εξυπνος,
,,εξυρημενη,
,,εξω,
,,εξωθεν,
,,εξωμολογησεν,
,,εξωσεν,
,,εξωτερον,
,,εοικεν,
,,εορακα,
,,εορακαν,
,,εορακεν,
,,εορταζωμεν,
,,εορτη,
,,εορτην,
,,εορτης,
,,επ,
,,επαγαγειν,
,,επαγγειλαμενον,
,,επαγγειλαμενος,
,,επαγγελια,
,,επαγγελιαι,
,,επαγγελιαις,
,,επαγγελιαν,
,,επαγγελιας,
,,επαγγελιων,
,,επαγγελλομεναις,
,,επαγγελλομενοι,
,,επαγγελμα,
,,επαγγελματα,
,,επαγοντες,
,,επαγωνιζεσθαι,
,,επαθεν,
,,επαθετε,
,,επαθον,
,,επαθροιζομενων,
,,επαιδευθη,
,,επαιδευον,
,,επαινεσατωσαν,
,,επαινεσω,
,,επαινετον,
,,επαινον,
,,επαινος,
,,επαινω,
,,επαιρεται,
,,επαιρομενον,
,,επαιροντας,
,,επαισεν,
,,επαισχυνεσθε,
,,επαισχυνεται,
,,επαισχυνθη,
,,επαισχυνθης,
,,επαισχυνθησεται,
,,επαισχυνομαι,
,,επαιτειν,
,,επαιτων,
,,επακολουθησητε,
,,επακολουθουντων,
,,επακολουθουσιν,
,,επαν,
,,επαναγαγε,
,,επαναγαγειν,
,,επαναγαγων,
,,επαναγκες,
,,επαναμιμνησκων,
,,επαναπαησεται,
,,επαναπαυη,
,,επαναστησονται,
,,επανελθειν,
,,επανερχεσθαι,
,,επανορθωσιν,
,,επανω,
,,επαξας,
,,επαραι,
,,επαραντες,
,,επαρας,
,,επαρασα,
,,επαρατε,
,,επαρατοι,
,,επαρκειτω,
,,επαρκεση,
,,επαρρησιαζετο,
,,επαρρησιασαμεθα,
,,επαρρησιασατο,
,,επαρχεια,
,,επαρχειας,
,,επαταξεν,
,,επατηθη,
,,επαυλις,
,,επαυοντο,
,,επαυριον,
,,επαυσαμην,
,,επαυσαντο,
,,επαυσατο,
,,επαφρα,
,,επαφρας,
,,επαφριζοντα,
,,επαφροδιτον,
,,επαφροδιτου,
,,επαχυνθη,
,,επεβαλεν,
,,επεβαλλεν,
,,επεβαλον,
,,επεβην,
,,επεβιβασαν,
,,επεβλεψεν,
,,επεγεγραπτο,
,,επεγινωσκον,
,,επεγνωκεναι,
,,επεγνωκοσιν,
,,επεγνωμεν,
,,επεγνωσαν,
,,επεγνωσθην,
,,επεγνωτε,
,,επεδιδου,
,,επεδοθη,
,,επεδωκαν,
,,επεζητησεν,
,,επεζητουν,
,,επεθεντο,
,,επεθηκαν,
,,επεθηκεν,
,,επεθυμει,
,,επεθυμησα,
,,επεθυμησαν,
,,επει,
,,επειδεν,
,,επειδη,
,,επειδηπερ,
,,επειθεν,
,,επειθετο,
,,επειθον,
,,επειθοντο,
,,επεινασα,
,,επεινασαν,
,,επεινασεν,
,,επειραζεν,
,,επειραζον,
,,επειρασαν,
,,επειρασας,
,,επειρασεν,
,,επειρασθησαν,
,,επειρωντο,
,,επεισαγωγη,
,,επεισαν,
,,επεισελευσεται,
,,επεισθησαν,
,,επειτα,
,,επειχεν,
,,επεκαθισεν,
,,επεκαλεσαν,
,,επεκαλυφθησαν,
,,επεκειλαν,
,,επεκεινα,
,,επεκειντο,
,,επεκειτο,
,,επεκεκλητο,
,,επεκληθη,
,,επεκρινεν,
,,επεκτεινομενος,
,,επελαβετο,
,,επελαθετο,
,,επελαθοντο,
,,επελειχον,
,,επελευσεται,
,,επελθη,
,,επελθοντος,
,,επελθων,
,,επελυεν,
,,επεμεινα,
,,επεμειναμεν,
,,επεμεληθη,
,,επεμενεν,
,,επεμενον,
,,επεμφθη,
,,επεμψα,
,,επεμψαμεν,
,,επεμψατε,
,,επεμψεν,
,,επενδυσασθαι,
,,επενδυτην,
,,επενεγκειν,
,,επενευσεν,
,,επενθησατε,
,,επεπεσαν,
,,επεπεσεν,
,,επεποιθει,
,,επερισσευον,
,,επερισσευσαν,
,,επερισσευσεν,
,,επερχομεναις,
,,επερχομενοις,
,,επερχομενων,
,,επερωταν,
,,επερωτατωσαν,
,,επερωτηθεις,
,,επερωτημα,
,,επερωτησαι,
,,επερωτησας,
,,επερωτησατε,
,,επερωτησω,
,,επερωτω,
,,επερωτωντα,
,,επερωτωσιν,
,,επεσα,
,,επεσαν,
,,επεσεν,
,,επεσκεψασθε,
,,επεσκεψατο,
,,επεσκιαζεν,
,,επεσκιασεν,
,,επεσπειρεν,
,,επεστειλα,
,,επεστη,
,,επεστηριξαν,
,,επεστησαν,
,,επεστραφητε,
,,επεστρεψα,
,,επεστρεψαν,
,,επεστρεψατε,
,,επεστρεψεν,
,,επεσχεν,
,,επεταξας,
,,επεταξεν,
,,επετιθεσαν,
,,επετιμα,
,,επετιμησαν,
,,επετιμησεν,
,,επετιμων,
,,επετραπη,
,,επετρεψεν,
,,επετυχεν,
,,επετυχον,
,,επεφανη,
,,επεφωνει,
,,επεφωνουν,
,,επεφωσκεν,
,,επεχε,
,,επεχειρησαν,
,,επεχειρουν,
,,επεχοντες,
,,επεχρισεν,
,,επεχων,
,,επηγγειλαντο,
,,επηγγειλατο,
,,επηγγελται,
,,επηγειραν,
,,επηκολουθησεν,
,,επηκουσα,
,,επηκροωντο,
,,επηλθαν,
,,επηνεσεν,
,,επηξεν,
,,επηραν,
,,επηρεαζοντες,
,,επηρεαζοντων,
,,επηρεν,
,,επηρθη,
,,επηρκεσεν,
,,επηρωτα,
,,επηρωτησαν,
,,επηρωτησεν,
,,επηρωτων,
,,επι,
,,επιασαν,
,,επιασατε,
,,επιασεν,
,,επιασθη,
,,επιβαινειν,
,,επιβαλειν,
,,επιβαλλει,
,,επιβαλλον,
,,επιβαλλουσιν,
,,επιβαλουσιν,
,,επιβαλω,
,,επιβαλων,
,,επιβαντες,
,,επιβαρησαι,
,,επιβαρω,
,,επιβας,
,,επιβεβηκως,
,,επιβιβασαντες,
,,επιβιβασας,
,,επιβλεψαι,
,,επιβλεψητε,
,,επιβλημα,
,,επιβουλαις,
,,επιβουλη,
,,επιβουλης,
,,επιγαμβρευσει,
,,επιγεγραμμενα,
,,επιγεγραμμενη,
,,επιγεια,
,,επιγειος,
,,επιγειων,
,,επιγενομενου,
,,επιγινωσκει,
,,επιγινωσκεις,
,,επιγινωσκετε,
,,επιγινωσκετω,
,,επιγινωσκομενοι,
,,επιγνοντες,
,,επιγνους,
,,επιγνουσα,
,,επιγνουσιν,
,,επιγνω,
,,επιγνωναι,
,,επιγνως,
,,επιγνωσει,
,,επιγνωσεσθε,
,,επιγνωσεως,
,,επιγνωσιν,
,,επιγνωσις,
,,επιγνωσομαι,
,,επιγραφη,
,,επιγραφην,
,,επιγραψω,
,,επιδε,
,,επιδεικνυμεναι,
,,επιδεικνυς,
,,επιδειξαι,
,,επιδειξατε,
,,επιδεχεται,
,,επιδημουντες,
,,επιδιατασσεται,
,,επιδιορθωση,
,,επιδοντες,
,,επιδυετω,
,,επιδωσει,
,,επιεικεια,
,,επιεικειας,
,,επιεικεις,
,,επιεικες,
,,επιεικεσιν,
,,επιεικη,
,,επιεικης,
,,επιεν,
,,επιζητει,
,,επιζητειτε,
,,επιζητησας,
,,επιζητουμεν,
,,επιζητουσιν,
,,επιζητω,
,,επιθανατιους,
,,επιθειναι,
,,επιθεις,
,,επιθεντα,
,,επιθεντες,
,,επιθεντος,
,,επιθες,
,,επιθεσεως,
,,επιθη,
,,επιθης,
,,επιθησει,
,,επιθησεται,
,,επιθησουσιν,
,,επιθυμει,
,,επιθυμειτε,
,,επιθυμησαι,
,,επιθυμησεις,
,,επιθυμησετε,
,,επιθυμησουσιν,
,,επιθυμητας,
,,επιθυμια,
,,επιθυμιαι,
,,επιθυμιαις,
,,επιθυμιαν,
,,επιθυμιας,
,,επιθυμιων,
,,επιθυμουμεν,
,,επιθυμουσιν,
,,επιθυμων,
,,επιθω,
,,επικαλεισθαι,
,,επικαλεισθε,
,,επικαλειται,
,,επικαλεσαμενος,
,,επικαλεσαμενου,
,,επικαλεσασθαι,
,,επικαλεσηται,
,,επικαλεσωνται,
,,επικαλουμαι,
,,επικαλουμενοις,
,,επικαλουμενον,
,,επικαλουμενος,
,,επικαλουμενου,
,,επικαλουμενους,
,,επικαλουμενων,
,,επικαλυμμα,
,,επικαταρατος,
,,επικειμενα,
,,επικειμενον,
,,επικειμενου,
,,επικεισθαι,
,,επικειται,
,,επικεκλησαι,
,,επικεκληται,
,,επικληθεις,
,,επικληθεν,
,,επικληθεντα,
,,επικουρειων,
,,επικουριας,
,,επικρανθη,
,,επικρανθησαν,
,,επιλαβεσθαι,
,,επιλαβομενοι,
,,επιλαβομενος,
,,επιλαβομενου,
,,επιλαβου,
,,επιλαβωνται,
,,επιλαθεσθαι,
,,επιλαμβανεται,
,,επιλανθανεσθε,
,,επιλανθανομενος,
,,επιλεγομενη,
,,επιλειψει,
,,επιλελησμενον,
,,επιλεξαμενος,
,,επιλησμονης,
,,επιλοιπον,
,,επιλυθησεται,
,,επιλυσεως,
,,επιμαρτυρων,
,,επιμειναι,
,,επιμελειας,
,,επιμεληθητι,
,,επιμελησεται,
,,επιμελως,
,,επιμενε,
,,επιμενειν,
,,επιμενετε,
,,επιμενης,
,,επιμενοντων,
,,επιμενω,
,,επιμενωμεν,
,,επιμενωσιν,
,,επινοια,
,,επινον,
,,επιομεν,
,,επιον,
,,επιορκησεις,
,,επιορκοις,
,,επιουση,
,,επιουσιον,
,,επιπεπτωκος,
,,επιπεσοντες,
,,επιπιπτειν,
,,επιπληξης,
,,επιποθει,
,,επιποθησατε,
,,επιποθησιν,
,,επιποθητοι,
,,επιποθιαν,
,,επιποθουντες,
,,επιποθουντων,
,,επιποθω,
,,επιποθων,
,,επιπορευομενων,
,,επιπρασκον,
,,επιπτεν,
,,επιραπτει,
,,επιριψαντες,
,,επισημοι,
,,επισημον,
,,επισιτισμον,
,,επισκεπτεσθαι,
,,επισκεπτη,
,,επισκευασαμενοι,
,,επισκεψασθαι,
,,επισκεψασθε,
,,επισκεψεται,
,,επισκεψωμεθα,
,,επισκηνωση,
,,επισκιαζουσα,
,,επισκιασει,
,,επισκοπην,
,,επισκοπης,
,,επισκοποις,
,,επισκοπον,
,,επισκοπουντες,
,,επισκοπους,
,,επισπασθω,
,,επισταμαι,
,,επισταμενος,
,,επιστανται,
,,επισταντες,
,,επιστας,
,,επιστασα,
,,επιστασθε,
,,επιστασιν,
,,επιστασις,
,,επιστατα,
,,επισταται,
,,επιστειλαι,
,,επιστευεν,
,,επιστευετε,
,,επιστευθη,
,,επιστευθην,
,,επιστευθησαν,
,,επιστευον,
,,επιστευσα,
,,επιστευσαμεν,
,,επιστευσαν,
,,επιστευσας,
,,επιστευσατε,
,,επιστευσεν,
,,επιστη,
,,επιστηθι,
,,επιστημων,
,,επιστηριζοντες,
,,επιστηριζων,
,,επιστολαι,
,,επιστολαις,
,,επιστολας,
,,επιστολη,
,,επιστολην,
,,επιστολης,
,,επιστολων,
,,επιστομιζειν,
,,επιστραφεις,
,,επιστραφητω,
,,επιστρεφειν,
,,επιστρεφετε,
,,επιστρεφουσιν,
,,επιστρεψαι,
,,επιστρεψαντες,
,,επιστρεψας,
,,επιστρεψατε,
,,επιστρεψατω,
,,επιστρεψει,
,,επιστρεψη,
,,επιστρεψω,
,,επιστρεψωσιν,
,,επιστροφην,
,,επιστωθης,
,,επισυναγαγειν,
,,επισυναγει,
,,επισυναγωγην,
,,επισυναγωγης,
,,επισυναξαι,
,,επισυναξει,
,,επισυναξουσιν,
,,επισυναχθεισων,
,,επισυνηγμενη,
,,επισυντρεχει,
,,επισφαλους,
,,επισχυον,
,,επισωρευσουσιν,
,,επιταγην,
,,επιταγης,
,,επιταξη,
,,επιτασσει,
,,επιτασσειν,
,,επιτασσω,
,,επιτελειν,
,,επιτελεισθαι,
,,επιτελεισθε,
,,επιτελεσαι,
,,επιτελεσας,
,,επιτελεσατε,
,,επιτελεσει,
,,επιτελεση,
,,επιτελουντες,
,,επιτηδεια,
,,επιτιθεασιν,
,,επιτιθει,
,,επιτιθεις,
,,επιτιθεσθαι,
,,επιτιθησιν,
,,επιτιμαν,
,,επιτιμησαι,
,,επιτιμησας,
,,επιτιμησον,
,,επιτιμια,
,,επιτιμων,
,,επιτρεπεται,
,,επιτρεπη,
,,επιτρεπω,
,,επιτρεψαντος,
,,επιτρεψη,
,,επιτρεψον,
,,επιτροπης,
,,επιτροπου,
,,επιτροπους,
,,επιτροπω,
,,επιτυχειν,
,,επιφαινοντων,
,,επιφαναι,
,,επιφανεια,
,,επιφανειαν,
,,επιφανειας,
,,επιφανη,
,,επιφαυσει,
,,επιφερων,
,,επιφωσκουση,
,,επιχεων,
,,επιχορηγηθησεται,
,,επιχορηγησατε,
,,επιχορηγιας,
,,επιχορηγουμενον,
,,επιχορηγων,
,,επλανηθησαν,
,,επλανησεν,
,,επλασθη,
,,επλεομεν,
,,επλεονασεν,
,,επλεονεκτησα,
,,επλεονεκτησαμεν,
,,επλεονεκτησεν,
,,επληγη,
,,επληθυνετο,
,,επληθυνθη,
,,επληρου,
,,επληρουντο,
,,επληρουτο,
,,επληρωθη,
,,επληρωσαν,
,,επληρωσεν,
,,επλησαν,
,,επλησθη,
,,επλησθησαν,
,,επλουτησαν,
,,επλουτησατε,
,,επλουτισθητε,
,,επλυναν,
,,επλυνον,
,,επνευσαν,
,,επνιγεν,
,,επνιγοντο,
,,εποιει,
,,εποιησα,
,,εποιησαμεν,
,,εποιησαμην,
,,εποιησαν,
,,εποιησας,
,,εποιησατε,
,,εποιησεν,
,,εποικοδομει,
,,εποικοδομηθεντες,
,,εποικοδομησεν,
,,εποικοδομουμενοι,
,,εποικοδομουντες,
,,εποιουν,
,,εποιουντο,
,,επολεμησεν,
,,επονομαζη,
,,εποπται,
,,εποπτευοντες,
,,εποπτευσαντες,
,,επορευετο,
,,επορευθη,
,,επορευθησαν,
,,επορευομεθα,
,,επορευομην,
,,επορευοντο,
,,επορθει,
,,επορθουν,
,,επορνευσαν,
,,επος,
,,εποτιζεν,
,,εποτισα,
,,εποτισαμεν,
,,εποτισατε,
,,εποτισεν,
,,εποτισθημεν,
,,επουρανια,
,,επουρανιοι,
,,επουρανιοις,
,,επουρανιον,
,,επουρανιος,
,,επουρανιου,
,,επουρανιω,
,,επουρανιων,
,,επραθη,
,,επραξα,
,,επραξαμεν,
,,επραξατε,
,,επραξεν,
,,επρεπεν,
,,επρισθησαν,
,,επροφητευον,
,,επροφητευσαμεν,
,,επροφητευσαν,
,,επροφητευσεν,
,,επτα,
,,επταισαν,
,,επτακις,
,,επτακισχιλιους,
,,επτυσεν,
,,επτωχευσεν,
,,επυθετο,
,,επυθοντο,
,,επυνθανετο,
,,επυνθανοντο,
,,επωλησεν,
,,επωλουν,
,,επωρωθη,
,,επωρωθησαν,
,,επωρωσεν,
,,εραπισαν,
,,εραστον,
,,εραστος,
,,εραυνα,
,,εραυνατε,
,,εραυνησον,
,,εραυνων,
,,εραυνωντες,
,,εργα,
,,εργαζεσθαι,
,,εργαζεσθε,
,,εργαζεται,
,,εργαζη,
,,εργαζομαι,
,,εργαζομενοι,
,,εργαζομενος,
,,εργαζομενους,
,,εργαζομενω,
,,εργαζονται,
,,εργαζου,
,,εργαζωμεθα,
,,εργαση,
,,εργασιαν,
,,εργασιας,
,,εργαται,
,,εργατας,
,,εργατην,
,,εργατης,
,,εργατων,
,,εργοις,
,,εργον,
,,εργου,
,,εργω,
,,εργων,
,,ερεθιζετε,
,,ερει,
,,ερεις,
,,ερεισασα,
,,ερειτε,
,,ερευξομαι,
,,ερημια,
,,ερημιαις,
,,ερημιας,
,,ερημοις,
,,ερημον,
,,ερημος,
,,ερημου,
,,ερημους,
,,ερημουται,
,,ερημω,
,,ερημωσεως,
,,ερημωσις,
,,εριδες,
,,εριδι,
,,εριδος,
,,εριθεια,
,,εριθειαι,
,,εριθειαν,
,,εριθειας,
,,εριν,
,,εριον,
,,εριου,
,,ερις,
,,ερισει,
,,εριφια,
,,εριφον,
,,εριφων,
,,ερμαν,
,,ερμην,
,,ερμηνεια,
,,ερμηνειαν,
,,ερμηνευεται,
,,ερμηνευομενος,
,,ερμογενης,
,,ερουμεν,
,,ερουσιν,
,,ερπετα,
,,ερπετων,
,,ερραβδισθην,
,,ερραντισεν,
,,ερρεθη,
,,ερρεθησαν,
,,ερρηξεν,
,,ερριζωμενοι,
,,ερριμμενοι,
,,ερριπται,
,,ερριψαν,
,,ερρυσατο,
,,ερρυσθην,
,,ερρωσθε,
,,ερυθρα,
,,ερυθραν,
,,ερχεσθαι,
,,ερχεσθε,
,,ερχεσθω,
,,ερχεται,
,,ερχη,
,,ερχηται,
,,ερχομαι,
,,ερχομεθα,
,,ερχομενα,
,,ερχομενη,
,,ερχομενης,
,,ερχομενοι,
,,ερχομενον,
,,ερχομενος,
,,ερχομενου,
,,ερχομενους,
,,ερχομενω,
,,ερχομενων,
,,ερχονται,
,,ερχου,
,,ερω,
,,ερωτα,
,,ερωταν,
,,ερωτας,
,,ερωτησαι,
,,ερωτησατε,
,,ερωτησετε,
,,ερωτηση,
,,ερωτησον,
,,ερωτησω,
,,ερωτησωσιν,
,,ερωτω,
,,ερωτωμεν,
,,ερωτων,
,,ερωτωντες,
,,ερωτωντων,
,,εσαλευθη,
,,εσαλευσεν,
,,εσαλπισεν,
,,εσβεσαν,
,,εσεβασθησαν,
,,εσεισθη,
,,εσεισθησαν,
,,εσεσθαι,
,,εσεσθε,
,,εση,
,,εσημαινεν,
,,εσημανεν,
,,εσθησεσι,
,,εσθητα,
,,εσθητε,
,,εσθητι,
,,εσθιει,
,,εσθιειν,
,,εσθιετε,
,,εσθιετω,
,,εσθιη,
,,εσθιητε,
,,εσθιοντα,
,,εσθιοντες,
,,εσθιοντι,
,,εσθιοντων,
,,εσθιουσιν,
,,εσθιων,
,,εσθιωσιν,
,,εσιγησαν,
,,εσιγησεν,
,,εσιωπα,
,,εσιωπων,
,,εσκανδαλιζοντο,
,,εσκανδαλισθησαν,
,,εσκαψεν,
,,εσκηνωσεν,
,,εσκιρτησεν,
,,εσκληρυνοντο,
,,εσκορπισεν,
,,εσκοτισθη,
,,εσκοτωθη,
,,εσκοτωμενη,
,,εσκοτωμενοι,
,,εσκυλμενοι,
,,εσλι,
,,εσμεν,
,,εσμυρνισμενον,
,,εσομαι,
,,εσομεθα,
,,εσομενον,
,,εσονται,
,,εσοπτρου,
,,εσοπτρω,
,,εσπαργανωμενον,
,,εσπαργανωσεν,
,,εσπαρμενον,
,,εσπαταλησατε,
,,εσπειρα,
,,εσπειραμεν,
,,εσπειρας,
,,εσπειρεν,
,,εσπερα,
,,εσπεραν,
,,εσπερας,
,,εσπευδεν,
,,εσπιλωμενον,
,,εσπλαγχνισθη,
,,εσπουδασα,
,,εσπουδασαμεν,
,,εσρωμ,
,,εσταθη,
,,εσταθησαν,
,,εσται,
,,εσταναι,
,,εσταυρωθη,
,,εσταυρωμενον,
,,εσταυρωμενος,
,,εσταυρωσαν,
,,εσταυρωσατε,
,,εσταυρωται,
,,εστε,
,,εστεναξεν,
,,εστερεουντο,
,,εστερεωθησαν,
,,εστερεωσεν,
,,εστεφανωμενον,
,,εστεφανωσας,
,,εστη,
,,εστηκα,
,,εστηκαμεν,
,,εστηκας,
,,εστηκασιν,
,,εστηκατε,
,,εστηκεν,
,,εστηκος,
,,εστηκοτα,
,,εστηκοτες,
,,εστηκοτων,
,,εστηκως,
,,εστηριγμενους,
,,εστηρικται,
,,εστηρισεν,
,,εστησαν,
,,εστησεν,
,,εστιν,
,,εστος,
,,εστραφη,
,,εστραφησαν,
,,εστρεψεν,
,,εστρηνιασεν,
,,εστρωμενον,
,,εστρωννυον,
,,εστρωσαν,
,,εστω,
,,εστως,
,,εστωσαν,
,,εστωτα,
,,εστωτας,
,,εστωτες,
,,εστωτος,
,,εστωτων,
,,εσυκοφαντησα,
,,εσυλησα,
,,εσυρον,
,,εσφαγης,
,,εσφαγμενην,
,,εσφαγμενον,
,,εσφαγμενου,
,,εσφαγμενων,
,,εσφαξεν,
,,εσφραγισεν,
,,εσφραγισθητε,
,,εσφραγισμενοι,
,,εσφραγισμενων,
,,εσχατα,
,,εσχαταις,
,,εσχατας,
,,εσχατη,
,,εσχατοι,
,,εσχατον,
,,εσχατος,
,,εσχατου,
,,εσχατους,
,,εσχατω,
,,εσχατων,
,,εσχατως,
,,εσχεν,
,,εσχες,
,,εσχηκα,
,,εσχηκαμεν,
,,εσχηκεν,
,,εσχηκοτα,
,,εσχισθη,
,,εσχισθησαν,
,,εσχομεν,
,,εσχον,
,,εσω,
,,εσωζοντο,
,,εσωθεν,
,,εσωθη,
,,εσωθημεν,
,,εσωσεν,
,,εσωτεραν,
,,εσωτερον,
,,εταιρε,
,,εταξαν,
,,εταξατο,
,,εταπεινωσεν,
,,εταραξαν,
,,εταραξεν,
,,εταραχθη,
,,εταραχθησαν,
,,εταφη,
,,ετεθη,
,,ετεθην,
,,ετεθησαν,
,,ετει,
,,ετεκεν,
,,ετεκνοτροφησεν,
,,ετελειωθη,
,,ετελειωσεν,
,,ετελεσαν,
,,ετελεσεν,
,,ετελεσθη,
,,ετελευτησεν,
,,ετερα,
,,ετεραι,
,,ετεραις,
,,ετεραν,
,,ετερας,
,,ετερογλωσσοις,
,,ετεροδιδασκαλει,
,,ετεροδιδασκαλειν,
,,ετεροζυγουντες,
,,ετεροι,
,,ετεροις,
,,ετερον,
,,ετερος,
,,ετερου,
,,ετερους,
,,ετερω,
,,ετερων,
,,ετερως,
,,ετεσιν,
,,ετεχθη,
,,ετη,
,,ετηρειτο,
,,ετηρησα,
,,ετηρησαν,
,,ετηρησας,
,,ετηρουν,
,,ετι,
,,ετιθει,
,,ετιθεσαν,
,,ετιθουν,
,,ετιλλον,
,,ετιμησαν,
,,ετιμησαντο,
,,ετοιμα,
,,ετοιμαζε,
,,ετοιμασαι,
,,ετοιμασας,
,,ετοιμασατε,
,,ετοιμασθη,
,,ετοιμασια,
,,ετοιμασον,
,,ετοιμασω,
,,ετοιμασωμεν,
,,ετοιμην,
,,ετοιμοι,
,,ετοιμον,
,,ετοιμος,
,,ετοιμους,
,,ετοιμω,
,,ετοιμως,
,,ετολμα,
,,ετολμησεν,
,,ετολμων,
